iter	Passed	Remaining
0	3	3874
1	7	3651
2	10	3557
3	13	3355
4	16	3242
5	19	3232
6	22	3148
7	24	3081
8	28	3132
9	31	3109
10	34	3140
11	38	3156
12	41	3128
13	44	3153
14	48	3194
15	52	3206
16	55	3197
17	59	3235
18	63	3300
19	67	3313
20	70	3305
21	75	3344
22	79	3398
23	84	3437
24	88	3440
25	93	3495
26	96	3483
27	100	3475
28	103	3464
29	106	3452
30	110	3447
31	113	3431
32	116	3419
33	119	3403
34	124	3423
35	127	3413
36	130	3396
37	134	3400
38	137	3398
39	142	3416
40	146	3423
41	150	3429
42	154	3438
43	159	3462
44	163	3468
45	166	3463
46	171	3480
47	175	3485
48	179	3476
49	183	3494
50	188	3500
51	191	3495
52	195	3490
53	199	3496
54	203	3501
55	207	3494
56	210	3486
57	214	3486
58	218	3481
59	222	3490
60	226	3489
61	230	3490
62	234	3483
63	238	3489
64	242	3491
65	247	3497
66	251	3497
67	256	3511
68	261	3525
69	266	3540
70	272	3567
71	276	3566
72	280	3563
73	285	3568
74	288	3564
75	292	3557
76	296	3558
77	301	3558
78	305	3559
79	309	3554
80	313	3553
81	318	3560
82	322	3558
83	325	3554
84	329	3547
85	334	3550
86	338	3551
87	343	3563
88	349	3580
89	353	3578
90	358	3578
91	362	3577
92	367	3587
93	372	3593
94	376	3588
95	381	3593
96	385	3590
97	389	3586
98	393	3581
99	398	3590
100	403	3588
101	407	3590
102	411	3586
103	417	3593
104	421	3590
105	426	3593
106	430	3594
107	434	3592
108	439	3590
109	443	3584
110	447	3587
111	451	3581
112	455	3578
113	459	3573
114	464	3577
115	469	3581
116	474	3579
117	478	3579
118	483	3577
119	487	3573
120	491	3570
121	497	3580
122	503	3593
123	509	3600
124	515	3605
125	519	3600
126	523	3597
127	528	3597
128	531	3591
129	536	3591
130	540	3585
131	545	3587
132	550	3587
133	555	3587
134	559	3585
135	563	3580
136	567	3575
137	572	3574
138	578	3583
139	585	3593
140	589	3591
141	595	3597
142	599	3593
143	604	3592
144	609	3594
145	613	3590
146	618	3589
147	622	3586
148	628	3587
149	632	3584
150	637	3584
151	642	3585
152	647	3583
153	651	3580
154	656	3579
155	660	3575
156	665	3571
157	669	3569
158	675	3574
159	681	3575
160	686	3576
161	692	3580
162	697	3583
163	704	3590
164	710	3597
165	715	3594
166	719	3590
167	724	3589
168	729	3586
169	734	3586
170	739	3587
171	744	3585
172	749	3583
173	754	3583
174	759	3579
175	764	3578
176	769	3578
177	774	3576
178	779	3573
179	783	3571
180	789	3574
181	797	3583
182	802	3583
183	807	3579
184	811	3577
185	816	3573
186	823	3580
187	831	3589
188	837	3592
189	841	3588
190	846	3586
191	852	3587
192	856	3581
193	861	3577
194	866	3576
195	871	3574
196	875	3570
197	880	3566
198	886	3566
199	892	3568
200	896	3565
201	902	3566
202	909	3572
203	916	3575
204	921	3572
205	925	3568
206	931	3567
207	936	3564
208	940	3560
209	945	3557
210	951	3556
211	955	3552
212	960	3549
213	966	3550
214	971	3546
215	976	3544
216	982	3544
217	987	3543
218	992	3541
219	998	3540
220	1003	3535
221	1009	3536
222	1016	3540
223	1021	3540
224	1026	3536
225	1032	3537
226	1038	3535
227	1043	3534
228	1050	3536
229	1058	3542
230	1065	3545
231	1070	3542
232	1075	3540
233	1081	3540
234	1086	3536
235	1091	3533
236	1097	3532
237	1102	3530
238	1107	3526
239	1112	3522
240	1117	3519
241	1122	3515
242	1128	3515
243	1133	3511
244	1138	3506
245	1144	3506
246	1149	3503
